,,,,,,,,,,nan_8,nan_9,nan_10,nan_11,code,product name,brand,unit,qty,unit price,amount,vat/tax %,vat amount,final amount,cost | p unit,retail price or % | p unit,wholesale price | p unit,disc/p unit,"97212, dubai, united arab emirates"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/1/2025 0:00
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,January
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,424118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,NOS,300,0.65,,5,9.75,204.75,,,,,,,,,,,,,,,,,,,FAST LOOPING CONNECTOR PCT-213
,,,NOS,200,0.3,,5,3,63,,,,,,,,,,,,,,,,,,,NYLON GLAND MTYPE WHITE M-16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2025 0:00
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,January
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,423692
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,NOS,20,1.75,,5,1.75,36.75,,,,,,,,,,,,,,,,,,,FAN CAPACTIOR 450VAC CBB61 2.5UF CABLE TYPE 
,,,PKT,100,1.15,,5,5.75,120.75,,,,,,,,,,,,,,,,,,,WALL PLUG 6MM X 30 NYLON GIFFEX 
,,,NOS,3,12,,5,1.8,37.8,,,,,,,,,,,,,,,,,,,Soldering Iron GX-030A 30W
,,,NOS,3,13,,5,1.95,40.95,,,,,,,,,,,,,,,,,,,Soldering Iron GX-040A 40W
,,,NOS,3,15,,5,2.25,47.25,,,,,,,,,,,,,,,,,,,Soldering Iron GX-060A 60W
,,,NOS,3,16,,5,2.4,50.4,,,,,,,,,,,,,,,,,,,Soldering Iron GX-080A 80W
,,,NOS,3,18,,5,2.7,56.7,,,,,,,,,,,,,,,,,,,Soldering Iron GX-100A 100W
,,,NOS,3,19,,5,2.85,59.85,,,,,,,,,,,,,,,,,,,Soldering Iron with 5 Tips GX-070A-30W
,,,NOS,15,1,,5,0.75,15.75,,,,,,,,,,,,,,,,,,,Soldering Paste GX-HS7
,,,NOS,15,2.5,,5,1.88,39.38,,,,,,,,,,,,,,,,,,,Soldering Wire GX-HS20 20g
,,,NOS,15,5.5,,5,4.13,86.83,,,,,,,,,,,,,,,,,,,Soldering Wire GX-HS50 50g 
,,,NOS,20,5,,5,5,105,,,,,,,,,,,,,,,,,,,CN12-3 STRAIGHT CABLE GLAND WITH SEPARATE CONNECTOR IP68 GIFFEX
,,,NOS,5,8,,5,2,42,,,,,,,,,,,,,,,,,,,T2-5 T TYPE CABLE GLAND IP68 GIFFEX
,,,NOS,5,9,,5,2.25,47.25,,,,,,,,,,,,,,,,,,,Y2-5 Y TYPE CABLE GLAND IP68 GIFFEX
,,,PKT,10,12,,5,6,126,,,,,,,,,,,,,,,,,,,4T-M20-10 4WAY CABLE GLAND IP68 GIFFEX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/1/2025
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,January
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,427251
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,NOS,100,0.4,,5,2,42,,,,,,,,,,,,,,,,,,,FAST LOOPING CONNECTOR DB412 
,,,NOS,100,0.5,,5,2.5,52.5,,,,,,,,,,,,,,,,,,,FAST LOOPING CONNECTOR DB413 
,,,NOS,50,0.6,,5,1.5,31.5,,,,,,,,,,,,,,,,,,,FAST LOOPING CONNECTOR DB414 RLUX 
,,,NOS,10,0.68,,5,0.34,7.14,,,,,,,,,,,,,,,,,,,"GIFFEX INSULATION TAPE GX102 3/4""X10YDS Y/G "
,,,NOS,1,130,,5,6.5,136.5,,,,,,,,,,,,,,,,,,,HYDRAULIC CRIMPING TOOL YQ-300 16-300MM 
,,,NOS,50,1,,5,2.5,52.5,,,,,,,,,,,,,,,,,,,PUSH BUTTON PBS-11A RED (LOCK TYPE) 
,,,PKT,10,12,,5,6,126,,,,,,,,,,,,,,,,,,,NYLON TERMINAL CONNECTOR 10MM GIFFEX 
,,,PKT,10,18,,5,9,189,,,,,,,,,,,,,,,,,,,NYLON TERMINAL CONNECTOR 16MM GIFFEX
,,,NOS,2,40,,5,4,84,,,,,,,,,,,,,,,,,,,BUS BAR U TYPE 1.2X7MM 4P 63A GIFFEX GXB-U634P 
,,,NOS,2,30,,5,3,63,,,,,,,,,,,,,,,,,,,BUS BAR U TYPE 1.2X7MM 3P 63A GIFFEX GXB-U633P 
,,,NOS,5,8,,5,2,42,,,,,,,,,,,,,,,,,,,NEUTRAL LINK WITHOUT BASE 72WAY(1/2 MTR)
,,,PKT,1,2.5,,5,0.13,2.63,,,,,,,,,,,,,,,,,,,R TYPE CABLE CLAMP DB-5/16R (DB-1.5)
,,,PKT,1,2.75,,5,0.14,2.89,,,,,,,,,,,,,,,,,,,R TYPE CABLE CLAMP DB-3/8R (DB-2)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/1/2025
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,January
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,429359
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,PKT,30,1.25,,5,1.88,39.38,,,,,,,,,,,,,,,,,,,LSD CABLE TIE 150X2.5MM WHITE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/1/2025
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,January
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,429109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,PKT,20,4,,5,4,84,,,,,,,,,,,,,,,,,,,LSD TIE BASE 20X20 WHITE
,,,PKT,20,5,,5,5,105,,,,,,,,,,,,,,,,,,,LSD TIE BASE 25X25 WHITE
,,,PKT,10,4,,5,2,42,,,,,,,,,,,,,,,,,,,LSD TIE BASE 20X20 BLACK SUPERLUX
,,,PKT,10,5,,5,2.5,52.5,,,,,,,,,,,,,,,,,,,LSD TIE BASE 25X25 BLACK
,,,PKT,50,1.25,,5,3.13,65.63,,,,,,,,,,,,,,,,,,,LSD CABLE TIE 150X2.5MM BLACK
,,,PKT,20,1.76,,5,1.76,36.96,,,,,,,,,,,,,,,,,,,LSD CABLE TIE 200X2.5MM WHITE
,,,PKT,15,"2,42",,5,1.82,38.12,,,,,,,,,,,,,,,,,,,LSD CABLE TIE 200X3.6MM WHITE 
,,,PKT,15,5.4,,5,4.05,85.05,,,,,,,,,,,,,,,,,,,LSD CABLE TIE 370X3.6MM WHITE 
,,,PKT,20,1.25,,5,1.25,26.25,,,,,,,,,,,,,,,,,,,LSD CABLE TIE 150X2.5MM WHITE 
,,,PKT,10,3.35,,5,1.68,35.18,,,,,,,,,,,,,,,,,,,LSD CABLE TIE 250X3.6MM BLACK
,,,PKT,10,3.35,,5,1.68,35.18,,,,,,,,,,,,,,,,,,,LSD CABLE TIE 250X3.6MM WHITE
,,,PKT,5,1.9,,5,0.48,9.98,,,,,,,,,,,,,,,,,,,CABLE TIE 150 X 2.5 RED LSD
,,,PKT,5,1.9,,5,0.48,9.98,,,,,,,,,,,,,,,,,,,CABLE TIE 150 X 2.5 YELLOW LSD 
,,,PKT,5,1.9,,5,0.48,9.98,,,,,,,,,,,,,,,,,,,CABLE TIE 150 X 2.5 BLUE LSD 
,,,PKT,5,2.75,,5,0.69,14.44,,,,,,,,,,,,,,,,,,,CABLE TIE 200 x 2.5 RED LSD 
,,,PKT,5,2.75,,5,0.69,14.44,,,,,,,,,,,,,,,,,,,CABLE TIE 200 x 2.5 YELLOW LSD 
,,,PKT,5,2.75,,5,0.69,14.44,,,,,,,,,,,,,,,,,,,CABLE TIE 200 X 2.5 BLUE LSD 
,,,PKT,5,5.25,,5,1.31,27.56,,,,,,,,,,,,,,,,,,,CABLE TIE 250 X 3.6 RED LSD
,,,PKT,5,5.25,,5,1.31,27.56,,,,,,,,,,,,,,,,,,,CABLE TIE 250 X 3.6 YELLOW LSD 
,,,PKT,5,5.25,,5,1.31,27.56,,,,,,,,,,,,,,,,,,,CABLE TIE 250 X 3.6 BLUE LSD 
,,,PKT,5,6.5,,5,1.63,34.13,,,,,,,,,,,,,,,,,,,CABLE TIE 300 X 3.6 RED LSD
,,,PKT,5,6.5,,5,1.63,34.13,,,,,,,,,,,,,,,,,,,CABLE TIE 300 X 3.6 YELLOW LSD
,,,PKT,5,6.5,,5,1.63,34.13,,,,,,,,,,,,,,,,,,,CABLE THE 300 X 3.6 BLUE LSD
,,,PKT,10,5.5,,5,2.75,57.75,,,,,,,,,,,,,,,,,,,FC ADHESIVE CLAMP FC-1W WHITE 100PCS/PKT GIFFEX
,,,PKT,10,6.5,,5,3.25,68.25,,,,,,,,,,,,,,,,,,,FC ADHESIVE CLAMP FC-2W WHITE 100PCS/PKT GIFFEX
,,,PKT,10,7.75,,5,3.88,81.38,,,,,,,,,,,,,,,,,,,FC ADHESIVE CLAMP FC-30W WHITE 25PCS/PKT GIFFEX
,,,PKT,10,9.5,,5,4.75,99.75,,,,,,,,,,,,,,,,,,,FC ADHESIVE CLAMP FC-40W WHITE 25PCS/PKT GIFFEX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/01/2024
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,January
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,429128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,SET,2,27.5,,5,2.75,57.75,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 0-9 YELLOW GIFFEX 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 A YELLOW
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 B YELLOW
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 C YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 D YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 E YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 F YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 G YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 H YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 I YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 J YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 K YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 L YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 M YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 N YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 0 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 P YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 Q YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 R YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 S YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 T YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 U YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 V YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 W YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 X YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 Y YELLOW
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-0 Z YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 0 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 1 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 2 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 3 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 4 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 5 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 6 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 7 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 8 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 9 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 A YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 C YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 D YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 E YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 F YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 G YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 H YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 I YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 J YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 K YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 L YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 M YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 0 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 P YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 Q YELLOW
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 S YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 T YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 U YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 V YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 W YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 X YELLOW
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 Y YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-1 Z YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 0 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 1 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 2 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 3 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 4 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 5 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 6 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 7 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 8 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 9 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 A YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 B YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 C YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 D YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 E YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 F YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 G YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 H YELLOW
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 1 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 J YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 K YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 L YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 M YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 N YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 O YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 P YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 Q YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 R YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 S YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 T YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 U YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 V YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 W YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 X YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 Y YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-2 Z YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 0 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 1 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 2 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 3 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 4 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 5 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 6 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 7 YELLOW
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 8 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 9 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 A YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 B YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 C YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 D YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 E YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 F YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 G YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 H YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 I YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 3 YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 K YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 L YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 M YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 N YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 O YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 P YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 Q YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 R YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 S YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 T YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 U YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 V YELLOW 
